invoice_no,vendor,invoice_date,due_date,currency,subtotal,tax,total,sku,desc,qty,unit_price,line_total
INV-2024-V00-0001,Apex Office Supply,2024-11-14,2024-12-14,USD,569.56,45.56,615.12,,Hanging File Folders (25-pack),2.0,19.45,38.9
INV-2024-V00-0001,Apex Office Supply,2024-11-14,2024-12-14,USD,569.56,45.56,615.12,AOS-MRK,Dry-Erase Markers Set,3.0,14.92,44.76
INV-2024-V00-0001,Apex Office Supply,2024-11-14,2024-12-14,USD,569.56,45.56,615.12,AOS-COF,Premium Ground Coffee (5 lb bag),3.0,35.33,105.99
INV-2024-V00-0001,Apex Office Supply,2024-11-14,2024-12-14,USD,569.56,45.56,615.12,AOS-STK,Sticky Notes Variety Pack,5.0,12.96,64.8
INV-2024-V00-0001,Apex Office Supply,2024-11-14,2024-12-14,USD,569.56,45.56,615.12,AOS-CBN,3-Ring Binders (Case of 12),1.0,54.65,54.65
INV-2024-V00-0001,Apex Office Supply,2024-11-14,2024-12-14,USD,569.56,45.56,615.12,AOS-TNR,Black Laser Toner Cartridge,1.0,84.35,84.35
INV-2024-V00-0001,Apex Office Supply,2024-11-14,2024-12-14,USD,569.56,45.56,615.12,AOS-PPR,"Copy Paper (Case, 10 Reams)",4.0,41.75,167.0
INV-2024-V00-0001,Apex Office Supply,2024-11-14,2024-12-14,USD,569.56,45.56,615.12,AOS-PEN,Ballpoint Pens (Box of 12),1.0,9.11,9.11
INV-2024-V00-0002,Apex Office Supply,2024-11-30,2024-12-30,USD,908.33,72.67,981.0,AOS-PEN,Ballpoint Pens (Box of 12),1.0,8.54,8.54
INV-2024-V00-0002,Apex Office Supply,2024-11-30,2024-12-30,USD,908.33,72.67,981.0,,Hanging File Folders (25-pack),3.0,19.49,58.47
INV-2024-V00-0002,Apex Office Supply,2024-11-30,2024-12-30,USD,908.33,72.67,981.0,AOS-PPR,"Copy Paper (Case, 10 Reams)",9.0,40.73,366.57
INV-2024-V00-0002,Apex Office Supply,2024-11-30,2024-12-30,USD,908.33,72.67,981.0,AOS-COF,Premium Ground Coffee (5 lb bag),3.0,35.64,106.92
INV-2024-V00-0002,Apex Office Supply,2024-11-30,2024-12-30,USD,908.33,72.67,981.0,AOS-TNR,Black Laser Toner Cartridge,2.0,89.3,178.6
INV-2024-V00-0002,Apex Office Supply,2024-11-30,2024-12-30,USD,908.33,72.67,981.0,AOS-MRK,Dry-Erase Markers Set,4.0,14.78,59.12
INV-2024-V00-0002,Apex Office Supply,2024-11-30,2024-12-30,USD,908.33,72.67,981.0,AOS-STK,Sticky Notes Variety Pack,5.0,13.81,69.05
INV-2024-V00-0002,Apex Office Supply,2024-11-30,2024-12-30,USD,908.33,72.67,981.0,AOS-CBN,3-Ring Binders (Case of 12),1.0,61.06,61.06
INV-2024-V01-0001,Stationery World Inc.,2024-11-12,2024-12-12,USD,444.81,35.58,480.39,SWI-WHT,Whiteboard Cleaner Spray,3.0,10.18,30.54
INV-2024-V01-0001,Stationery World Inc.,2024-11-12,2024-12-12,USD,444.81,35.58,480.39,SWI-SSS,Box of Staples (5000-count),6.0,7.0,42.0
INV-2024-V01-0001,Stationery World Inc.,2024-11-12,2024-12-12,USD,444.81,35.58,480.39,SWI-CLR,Color Printer Ink Set (4-pack),2.0,66.02,132.04
INV-2024-V01-0001,Stationery World Inc.,2024-11-12,2024-12-12,USD,444.81,35.58,480.39,SWI-ENV,Standard #10 Envelopes (500-pack),3.0,32.41,97.23
INV-2024-V01-0001,Stationery World Inc.,2024-11-12,2024-12-12,USD,444.81,35.58,480.39,SWI-TAP,Packing Tape Rolls (6-pack),2.0,18.62,37.24
INV-2024-V01-0001,Stationery World Inc.,2024-11-12,2024-12-12,USD,444.81,35.58,480.39,SWI-NTB,Spiral Notebooks (12-pack),2.0,24.48,48.96
INV-2024-V01-0001,Stationery World Inc.,2024-11-12,2024-12-12,USD,444.81,35.58,480.39,SWI-LBL,Shipping Labels (100-pack),2.0,18.45,36.9
INV-2024-V01-0001,Stationery World Inc.,2024-11-12,2024-12-12,USD,444.81,35.58,480.39,,Heavy-Duty Stapler,1.0,19.9,19.9
INV-2024-V01-0002,Stationery World Inc.,2024-11-28,2024-12-28,USD,613.9,49.11,663.01,SWI-NTB,Spiral Notebooks (12-pack),3.0,24.87,74.61
INV-2024-V01-0002,Stationery World Inc.,2024-11-28,2024-12-28,USD,613.9,49.11,663.01,SWI-TAP,Packing Tape Rolls (6-pack),3.0,19.67,59.01
INV-2024-V01-0002,Stationery World Inc.,2024-11-28,2024-12-28,USD,613.9,49.11,663.01,SWI-STA,Heavy-Duty Stapler,2.0,23.53,47.06
INV-2024-V01-0002,Stationery World Inc.,2024-11-28,2024-12-28,USD,613.9,49.11,663.01,SWI-WHT,Whiteboard Cleaner Spray,3.0,10.14,30.42
INV-2024-V01-0002,Stationery World Inc.,2024-11-28,2024-12-28,USD,613.9,49.11,663.01,SWI-ENV,Standard #10 Envelopes (500-pack),4.0,33.17,132.68
INV-2024-V01-0002,Stationery World Inc.,2024-11-28,2024-12-28,USD,613.9,49.11,663.01,SWI-SSS,Box of Staples (5000-count),3.0,6.98,20.94
INV-2024-V01-0002,Stationery World Inc.,2024-11-28,2024-12-28,USD,613.9,49.11,663.01,SWI-LBL,Shipping Labels (100-pack),2.0,17.58,35.16
INV-2024-V01-0002,Stationery World Inc.,2024-11-28,2024-12-28,USD,613.9,49.11,663.01,SWI-CLR,Color Printer Ink Set (4-pack),3.0,71.34,214.02
INV-2024-V02-0001,BlueSky Office Products,2024-11-30,2025-01-14,USD,1200.58,96.05,1296.63,BSO-LMP,LED Desk Lamp,3.0,44.62,133.86
